Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Shrek Forever After,6.70,12193,238395990,729395990,165000000
The Da Vinci Code,6.40,116903,217536138,757236138,125000000
The Lost World: Jurassic Park,6.00,77124,229086679,786686679,75000000
Harry Potter and the Prisoner of Azkaban,7.70,108928,249538952,795538952,130000000
Shrek the Third,6.10,59778,322719944,798958162,160000000
The Lord of the Rings: The Fellowship of the Ring,8.80,387438,314776170,868621686,109000000
Harry Potter and the Chamber of Secrets,7.20,120063,261987880,878987880,100000000
Harry Potter and the Goblet of Fire,7.60,111946,290013036,896013036,150000000
Shrek 2,7.50,95658,441226247,919838758,70000000
Jurassic Park,7.90,151365,357067947,923067947,63000000
The Lord of the Rings: The Two Towers,8.70,326950,341784377,926284377,94000000
Harry Potter and the Half-Blood Prince,7.30,73720,301959197,937499905,250000000
Harry Potter and the Order of the Phoenix,7.40,104074,292004738,938468864,150000000
Harry Potter and the Sorcerer's Stone,7.20,132238,317557891,976457891,125000000
Alice in Wonderland,6.70,63458,334191110,1023291110,200000000
The Lord of the Rings: The Return of the King,8.80,364077,377027325,1133027325,94000000
Steel,2.70,4409,1686429,1686429,16000000
Tank Girl,4.70,10772,4064333,4064333,25000000
Monkeybone,4.50,8211,5409517,5409517,75000000
American Splendor,7.60,23686,6003587,7978681,2000000
Punisher: War Zone,6.10,20865,8050977,8199130,35000000
Ghost World,7.70,42973,6217849,8764007,5500000
Jonah Hex,4.30,2316,10547117,10547117,47000000
Whiteout,5.30,10044,10275638,12254746,35000000
Zoom,3.40,7424,11989328,12506188,35000000
The Phantom,4.80,9477,17220599,17220599,45000000
Bulletproof Monk,5.20,17130,23010607,23010607,52000000
Virus,4.50,10487,14010690,30626690,75000000
From Hell,6.80,53477,31598308,31598308,35000000
The Shadow,5.60,9530,31835600,31835600,40000000
The Covenant,4.80,17736,23364784,38164784,20000000
Scott Pilgrim vs. The World,8.10,17461,31167395,43149143,85000000
Astro Boy,6.40,5265,19551067,44093014,65000000
The Punisher,6.40,50482,33664370,54664370,33000000
Son of the Mask,2.00,15800,17018422,59918422,100000000
A History of Violence,7.60,79738,31493782,59993782,32000000
30 Days of Night,6.60,52518,39568996,75066323,30000000
Kick-Ass,8.10,86990,48071303,76252166,28000000
Catwoman,3.20,34651,40202379,82102379,100000000
Spawn,4.80,21366,54979992,87949859,40000000
TMNT,6.60,26178,54149098,95009888,35000000
Hellboy,6.80,67763,59623958,99823958,60000000
Timecop,5.50,16570,44853581,102053581,28000000
Judge Dredd,4.90,30736,34687912,113487912,85000000
Surrogates,6.30,36940,38577772,119668350,80000000
Blade,7.00,64896,70141876,131237688,45000000
Blade: Trinity,5.70,42477,52397389,132397389,65000000
V for Vendetta,8.20,224636,70511035,132511035,50000000
AstÈrix aux Jeux Olympiques,4.90,5620,999811,132999811,113500000
Blade 2,5.50,90,81676888,154338601,54000000
Sin City,8.30,255814,74103820,158753820,40000000
Hellboy 2: The Golden Army,7.30,61902,75986503,160388063,82500000
Daredevil,5.50,63574,102543518,179179718,80000000
The League of Extraordinary Gentlemen,5.50,50710,66465204,179265204,78000000
Watchmen,7.80,132250,107509799,184068357,138000000
Garfield,4.80,19870,75367693,200802638,50000000
Constantine,6.70,78705,75976178,230884728,75000000
Ghost Rider,5.20,63235,115802596,237702596,120000000
Hulk,5.70,70844,132177234,245360480,137000000
The Incredible Hulk,7.10,82419,134806913,263349257,137500000
Superman,4.90,129,134218018,300200000,55000000
Fantastic Four,5.70,71675,154696080,330579719,87500000
X-Men,7.40,120706,157299717,334627820,75000000
Wanted,6.40,1089,134508551,340934768,75000000
The Mask,6.60,72981,119920129,343900000,18000000
Batman Begins,8.30,270641,205343774,372353017,150000000
Monsters vs. Aliens,6.80,26582,198351526,381687380,175000000
Superman Returns,6.60,102751,200120000,391120000,232000000
X2,7.80,112320,214949694,407711549,125000000
Batman,7.60,111464,251188924,411348924,35000000
Men in Black 2,7.40,467,190418803,441818803,140000000
300,7.80,235508,210614939,456068181,60000000
X-Men: The Last Stand,6.90,109125,234362462,459359555,150000000
Iron Man,7.90,174040,318604126,582604126,186000000
Men in Black,7.00,119704,250690539,587790539,90000000
Iron Man 2,7.30,61256,312128345,622128345,170000000
Spider-Man 2,7.70,141940,373524485,783705001,200000000
Spider-Man,7.40,167524,403706375,821708551,139000000
Spider-Man 3,6.40,141513,336530303,890871626,258000000
The Dark Knight,8.90,465000,533345358,1022345358,185000000
BloodRayne,2.70,20137,2405420,2405420,25000000
DOA: Dead or Alive,4.90,16646,480314,2670860,30000000
Alone in the Dark,2.30,26028,5178569,8178569,20000000
Wing Commander,3.70,9460,11578022,11578022,30000000
The House of the Dead,6.50,5541,10199354,13767816,7000000
Dungeons and Dragons,3.60,16954,15185241,33771965,35000000
Mortal Kombat: Annihilation,3.20,16672,35927406,51327406,30000000
Doom,5.20,39473,28212337,54612337,70000000
Final Fiction: The Spirits Within,6.40,36227,32131830,85131830,137000000
Max Payne,5.40,47541,40687294,85761789,35000000
Street Fighter,3.30,25407,33423000,99423000,35000000
Silent Hill,6.50,65485,46982632,99982632,50000000
Resident Evil,6.40,68342,40119709,103787401,35000000
Mortal Kombat,5.40,29605,70433227,122133227,20000000
Resident Evil: Apocalypse,5.80,52753,50740078,128940078,50000000
Resident Evil: Extinction,6.20,49502,50648679,146162920,45000000
Lara Croft: Tomb Raider: The Cradle of Life,5.20,32832,65653758,156453758,90000000
Lara Croft: Tomb Raider,5.40,55582,131144183,274644183,94000000
Isn't She Great,4.90,1426,2954405,2954405,36000000
Pushing Tin,5.90,16160,8408835,8408835,33000000
City by the Sea,6.10,13487,22433915,22433915,40000000
Blue Crush,5.50,11699,40118420,51327420,30000000
Proof of Life,6.10,23099,32598931,62761005,65000000
The Peacemaker,5.80,21524,41263140,62967368,50000000
Eat Pray Love,4.70,3019,78146373,81846373,60000000
The Fast and the Furious,6.00,67939,144512310,206512310,38000000
2 Fast 2 Furious,5.10,44151,127120058,236220058,76000000
A Beautiful Mind,8.00,126067,170708996,316708996,78000000
The Damned United,7.50,7560,449865,4054204,6400000
An Education,7.50,22855,12574914,14134502,7500000
The Informant,6.20,380,33316821,41771168,22000000
Green Zone,7.10,26759,35053660,84788541,100000000
The Blind Side,7.70,42320,255959475,301759475,35000000
Good,6.20,1926,27276,27276,16000000
The Salon,3.50,308,139084,139084,1500000
Illuminata,6.10,1100,836641,836641,10000000
Urbania,6.70,2218,1032075,1032075,225000
Get Real,7.50,6026,1152411,1152411,2000000
Faithful,5.70,989,2104439,2104439,13000000
Hamlet,6.00,5147,1577287,2288841,2000000
Othello,6.90,4289,2844379,2844379,11000000
In the Company of Men,7.20,7601,2883661,2883661,25000
East is East,6.70,8351,4170647,4170647,3000000
Richard III,7.50,6625,2684904,4204857,9200000
Little Voice,6.90,8453,4595000,4595000,6000000
Real Women Have Curves,7.00,4396,5853194,5853194,3000000
Bug,6.00,14164,7006708,7006708,4000000
Hamlet,6.00,5147,4501094,7129670,18000000
Proof,6.90,18622,7535331,8284331,20000000
The Importance of Being Earnest,6.70,9345,8378141,8378141,15000000
Kissing Jessica Stein,6.80,8291,7025722,8915268,1500000
The Libertine,6.40,16266,4835065,9448623,22000000
Henry V,7.90,14499,10161099,10161099,9000000
Marvin's Room,6.60,9684,12803305,12803305,23000000
The History Boys,6.70,10293,2730296,13425589,3700000
An Ideal Husband,6.70,8078,18542974,18542974,10700000
Shadowlands,7.40,7689,25842377,25842377,22000000
Frost/Nixon,7.90,36366,18622031,28144586,29000000
Paint Your Wagon,6.50,5037,31678778,31678778,20000000
Ten Things I Hate About You,6.90,61910,38177966,38177966,13000000
Meet the Browns,3.10,3362,41975388,41975388,20000000
8 femmes,7.00,13631,3076425,42376425,8000000
Diary of a Mad Black Woman,4.90,5565,50406346,50425450,5500000
Amadeus,8.40,96997,51973029,51973029,18000000
She's the Man,6.40,26513,33889159,56889159,25000000
Madea's Family Reunion,3.90,5369,63257940,63308879,10000000
Man cheng jin dai huang jin jia,7.00,17975,6566773,75566773,45000000
Madea Goes To Jail,3.10,5468,90508336,90508336,17500000
Closer,2.90,212,33987757,115987757,35000000
Finding Neverland,7.90,86828,51676606,118676606,25000000
Romeo+Juliet,6.50,78,46338728,147542381,14500000
You've Got Mail,6.20,52587,115821495,250800000,65000000
My Big Fat Greek Wedding,6.60,46548,241438208,368744044,5000000
"Peace, Propaganda and the Promised Land",3.00,75,4930,4930,70000
Lake of Fire,8.40,1027,25317,25317,6000000
Sisters in Law,6.70,203,33312,33312,300000
10th & Wolf,6.30,3655,54702,54702,8000000
Redacted,6.10,5759,65388,65388,5000000
Love Ranch,5.60,163,134904,134904,25000000
Hybrid,2.20,380,162605,162605,200000
My Date With Drew,6.50,2961,181041,181041,1100
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,7.10,643,144601,206351,1000000
Standard Operating Procedure,7.50,1640,228830,228830,5000000
Sex with Strangers,5.00,151,247740,247740,1100000
Stonewall,7.00,741,304602,304602,2000000
Copying Beethoven,6.80,5017,355968,355968,11000000
Short Cut to Nirvana: Kumbh Mela,6.90,105,381225,439651,200000
The Last Shot,5.70,2711,463730,463730,40000000
