Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
All the King's Men,6.00,11994,7221458,9521458,55000000
The Express,7.10,4749,9793406,9808102,37500000
Tsotsi,7.40,13167,2912606,9879971,3000000
Mrs. Winterbourne,5.80,2987,10039566,10039566,25000000
Taking Woodstock,6.80,8778,7460204,10061080,29000000
The Scarlet Letter,4.60,6155,10359006,10359006,50000000
Sex Drive,6.80,26920,8402485,10412485,19000000
Not Easily Broken,5.20,1010,10572742,10572742,5000000
The Great Raid,6.80,8894,10166502,10597070,60000000
The End of the Affair,6.90,9969,10660147,10660147,23000000
Being Julia,7.10,7067,7739049,11039049,18000000
Fair Game,6.60,194,11497497,11497497,50000000
The Rules of AttrAction/Adventure,6.70,26634,6525762,11799060,4000000
The Thirteenth Floor,6.70,19939,11810854,11810854,16000000
City of Ember,6.40,14905,7871693,11817059,38000000
Layer Cake,7.40,39857,2339957,11850214,6500000
In Dreams,5.30,7138,12017369,12017369,30000000
How to Lose Friends & Alienate People,6.70,25756,2775593,12031443,28000000
The Quiet American,7.20,14285,12987647,12987647,20000000
Angela's Ashes,7.00,10185,13038660,13038660,25000000
Whip It,7.10,14068,13043363,13043363,15000000
One Night with the King,6.00,2993,13395961,13395961,20000000
The Deep End of the Ocean,6.00,5790,13508635,13508635,40000000
The Little Vampire,5.30,2202,13555988,13555988,22000000
Fear and Loathing in Las Vegas,7.60,81560,10680275,13711903,18500000
The Man Who Knew Too Little,6.30,11307,13801755,13801755,20000000
How to Deal,5.40,5292,14108518,14108518,16000000
Snow Falling on Cedars,6.70,8444,14378353,14378353,36000000
Blindness,6.60,25508,3073392,14542658,25000000
Little Children,7.80,37162,5463019,14763019,14000000
Possession,6.40,6789,10103647,14805812,25000000
Arn - Tempelriddaren,6.40,6251,0,14900000,16500000
Election,7.40,37454,14943582,14943582,8500000
The Assassination of Jesse James by the Coward Robert Ford,7.70,57465,3909149,15001776,30000000
Iris,5.80,44,5580479,15035827,5500000
The Painted Veil,7.60,26331,8060487,15118795,19400000
Thinner,5.30,7888,15171475,15171475,14000000
The Greatest Game Ever Played,7.30,7876,15331289,15425073,25000000
The Island,6.90,82601,15716828,15716828,22000000
Jaws 4: The Revenge,2.60,15632,15728335,15728335,23000000
Thomas and the Magic Railroad,2.70,1613,15911332,15911332,19000000
The Ice Storm,7.50,27544,8038061,16011975,18000000
"Bright Lights, Big City",6.80,11929,16118077,16118077,25000000
The Emperor's Club,6.70,8165,14060950,16124074,12500000
House of Sand and Fog,7.80,29777,13005485,16157923,16500000
Rabbit-Proof Fence,7.60,13241,6199600,16199600,7000000
A Simple Plan,7.60,29095,16316273,16316273,17000000
"I Love You, Beth Cooper",5.90,179,14800725,16382538,18000000
Original Sin,5.60,15939,16521410,16521410,26000000
Bringing Out The Dead,6.80,31079,16640210,16640210,32000000
