Title,IMDB Rating,Worldwide Gross
Virus,4.5,30626690
From Hell,6.8,31598308
The Shadow,5.6,31835600
The Covenant,4.8,38164784
Scott Pilgrim vs. The World,8.1,43149143
Astro Boy,6.4,44093014
The Punisher,6.4,54664370
Son of the Mask,2.0,59918422
A History of Violence,7.6,59993782
30 Days of Night,6.6,75066323
Kick-Ass,8.1,76252166
Catwoman,3.2,82102379
Spawn,4.8,87949859
TMNT,6.6,95009888
Hellboy,6.8,99823958
Timecop,5.5,102053581
Judge Dredd,4.9,113487912
Surrogates,6.3,119668350
Blade,7.0,131237688
Blade: Trinity,5.7,132397389
V for Vendetta,8.2,132511035
AstÈrix aux Jeux Olympiques,4.9,132999811
Blade 2,5.5,154338601
Sin City,8.3,158753820
Hellboy 2: The Golden Army,7.3,160388063
Daredevil,5.5,179179718
The League of Extraordinary Gentlemen,5.5,179265204
Watchmen,7.8,184068357
Garfield,4.8,200802638
Constantine,6.7,230884728
Ghost Rider,5.2,237702596
Hulk,5.7,245360480
The Incredible Hulk,7.1,263349257
Superman,4.9,300200000
Fantastic Four,5.7,330579719
X-Men,7.4,334627820
Wanted,6.4,340934768
The Mask,6.6,343900000
Batman Begins,8.3,372353017
Monsters vs. Aliens,6.8,381687380
Superman Returns,6.6,391120000
X2,7.8,407711549
Batman,7.6,411348924
Men in Black 2,7.4,441818803
300,7.8,456068181
X-Men: The Last Stand,6.9,459359555
Iron Man,7.9,582604126
Men in Black,7.0,587790539
Iron Man 2,7.3,622128345
Spider-Man 2,7.7,783705001
Spider-Man,7.4,821708551
Spider-Man 3,6.4,890871626
The Dark Knight,8.9,1022345358
BloodRayne,2.7,2405420
DOA: Dead or Alive,4.9,2670860
Alone in the Dark,2.3,8178569
Wing Commander,3.7,11578022
The House of the Dead,6.5,13767816
Dungeons and Dragons,3.6,33771965
Mortal Kombat: Annihilation,3.2,51327406
Doom,5.2,54612337
Final Fiction: The Spirits Within,6.4,85131830
Max Payne,5.4,85761789
Street Fighter,3.3,99423000
Silent Hill,6.5,99982632
Resident Evil,6.4,103787401
Mortal Kombat,5.4,122133227
Resident Evil: Apocalypse,5.8,128940078
Resident Evil: Extinction,6.2,146162920
Lara Croft: Tomb Raider: The Cradle of Life,5.2,156453758
Lara Croft: Tomb Raider,5.4,274644183
Isn't She Great,4.9,2954405
Pushing Tin,5.9,8408835
City by the Sea,6.1,22433915
Blue Crush,5.5,51327420
Proof of Life,6.1,62761005
The Peacemaker,5.8,62967368
Eat Pray Love,4.7,81846373
The Fast and the Furious,6.0,206512310
2 Fast 2 Furious,5.1,236220058
A Beautiful Mind,8.0,316708996
The Damned United,7.5,4054204
An Education,7.5,14134502
The Informant,6.2,41771168
Green Zone,7.1,84788541
The Blind Side,7.7,301759475
Good,6.2,27276
The Salon,3.5,139084
Illuminata,6.1,836641
Urbania,6.7,1032075
Get Real,7.5,1152411
Faithful,5.7,2104439
Hamlet,6.0,2288841
Othello,6.9,2844379
In the Company of Men,7.2,2883661
East is East,6.7,4170647
Richard III,7.5,4204857
Little Voice,6.9,4595000
Real Women Have Curves,7.0,5853194
Bug,6.0,7006708
Hamlet,6.0,7129670
Proof,6.9,8284331
The Importance of Being Earnest,6.7,8378141
Kissing Jessica Stein,6.8,8915268
The Libertine,6.4,9448623
Henry V,7.9,10161099
Marvin's Room,6.6,12803305
The History Boys,6.7,13425589
An Ideal Husband,6.7,18542974
Shadowlands,7.4,25842377
Frost/Nixon,7.9,28144586
Paint Your Wagon,6.5,31678778
Ten Things I Hate About You,6.9,38177966
Meet the Browns,3.1,41975388
8 femmes,7.0,42376425
Diary of a Mad Black Woman,4.9,50425450
Amadeus,8.4,51973029
She's the Man,6.4,56889159
Madea's Family Reunion,3.9,63308879
Man cheng jin dai huang jin jia,7.0,75566773
Madea Goes To Jail,3.1,90508336
Closer,2.9,115987757
Finding Neverland,7.9,118676606
Romeo+Juliet,6.5,147542381
You've Got Mail,6.2,250800000
My Big Fat Greek Wedding,6.6,368744044
"Peace, Propaganda and the Promised Land",3.0,4930
Lake of Fire,8.4,25317
Sisters in Law,6.7,33312
10th & Wolf,6.3,54702
Redacted,6.1,65388
Love Ranch,5.6,134904
Hybrid,2.2,162605
My Date With Drew,6.5,181041
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,7.1,206351
Standard Operating Procedure,7.5,228830
Sex with Strangers,5.0,247740
Stonewall,7.0,304602
Copying Beethoven,6.8,355968
Short Cut to Nirvana: Kumbh Mela,6.9,439651
The Last Shot,5.7,463730
Madison,6.4,517262
Prefontaine,6.2,590817
Trekkies,6.9,617172
Inside Deep Throat,6.9,691880
Without Limits,6.9,780326
Princess Kaiulani,5.3,883454
Joyeux NoÎl,7.8,1054361
Wonderland,6.6,1060512
In the Shadow of the Moon,8.0,1134358
Tarnation,7.1,1162014
Saints and Soldiers,7.0,1310470
No End In Sight,8.3,1433319
It's All Gone Pete Tong,7.3,1470620
Factory Girl,6.1,1661464
Murderball,7.8,1722277
Find Me Guilty,7.1,1788077
Tumbleweeds,6.4,1788168
Beyond the Mat,7.2,2047570
Jefferson in Paris,5.6,2461628
Shattered Glass,7.4,2932719
Basquiat,6.7,2962051
Gracie,6.2,3036736
Wordplay,7.4,3177636
Riding Giants,7.7,3216111
Zwartboek,8.0,4398392
Rize,6.8,4462763
Slums of Beverly Hills,6.4,5502773
The Children of Huang Shi,6.9,5527507
Get on the Bus,6.7,5691854
Catch a Fire,6.8,5699773
The Straight Story,8.0,6197866
Topsy Turvy,7.1,6201757
Against the Ropes,5.2,6429865
Rescue Dawn,7.5,7037886
Beyond the Sea,6.6,7061637
The Hoax,6.9,7164995
Cadillac Records,6.7,8138000
Mad Hot Ballroom,7.4,9079042
Veronica Guerin,6.8,9438074
Bright Star,7.1,9469105
White Squall,6.4,10229300
The Newton Boys,5.7,10341093
The Night Listener,5.9,10547755
Pollock,7.1,10557291
The Young Victoria,7.2,11001272
The Squid and the Whale,7.6,11098131
Stop-Loss,6.5,11179472
I'm Not There,7.1,11498547
Hoop Dreams,8.0,11768371
Extraordinary Measures,6.4,12697741
Kinsey,7.2,13000959
Ghosts of Mississippi,6.4,13052741
Religulous,7.8,13136074
Tea with Mussolini,6.7,14395874
Capitalism: A Love Story,7.3,14678228
Flyboys,6.5,14816379
The World's Fastest Indian,7.9,16509706
Domino,5.9,17759202
De-Lovely,6.5,18396382
Michael Jordan to the MAX,7.2,18642318
Martin Lawrence Live: RunTelDat,4.9,19184820
Summer of Sam,6.5,19288130
Die F‰lscher,7.6,19416495
Bobby,7.1,20597806
U2 3D,8.3,22664070
Antwone Fisher,7.3,23367586
Raging Bull,8.4,23380203
North Country,7.2,23624242
The Alamo,5.9,23911362
In the Valley of Elah,7.4,24489150
Wyatt Earp,6.4,25052000
Michael Collins,6.9,27572844
Wolf Creek,6.3,27649774
Luther,6.8,29465190
Super Size Me,7.6,29529368
Riding in Cars with Boys,6.2,29781453
The Great Debaters,7.6,30226144
Rob Roy,6.8,31390587
Sicko,8.2,33538513
Nixon,7.1,34668249
Miss Potter,7.1,35025861
Selena,6.3,35450113
Shine,7.6,35811509
Becoming Jane,7.0,37304637
The Original Kings of Comedy,6.2,38236338
The Soloist,6.7,38286958
The Ghost and the Darkness,6.6,38564422
Mar adentro,7.2,39686345
Gridiron Gang,6.8,41480851
Amistad,7.1,44212592
Notorious,6.3,44473591
Capote,7.6,46309352
Man on the Moon,7.4,47407635
Coco avant Chanel,6.5,48846765
Milk,3.6,50164027
Fargo,8.3,51204567
Radio,6.9,53293628
Good Night and Good Luck,7.7,54601218
Donnie Brasco,7.7,55954997
Frida,7.3,56298474
Tombstone,7.7,56505000
Monster,7.4,58003694
Bowling for Columbine,8.2,58576018
The Bank Job,7.5,63060660
The Miracle,6.1,64445708
August Rush,7.5,65627510
Take the Lead,6.5,65742066
Thirteen Days,7.3,66554547
Letters from Iwo Jima,8.1,68756082
Oceans,7.6,72965951
The Hurricane,7.4,73956241
United 93,7.8,76366864
Elizabeth,7.6,82150642
Men of Honor,6.8,82339483
Dead Man Walking,7.6,83088295
La MÙme,7.6,83499782
Ali,6.6,84383966
Downfall,6.1,92101940
Enemy at the Gates,7.4,96971293
Cinderella Man,8.0,108539911
Coyote Ugly,5.3,115786269
The Pianist,8.5,120000000
The Queen,7.6,122840603
La marche de l'empereur,7.8,129437223
Munich,7.8,130279090
Seven Years in Tibet,6.7,131445884
Remember the Titans,7.5,136706683
The Exorcism of Emily Rose,6.8,144216468
World Trade Center,6.2,163278893
Alexander,5.4,167297191
Walk the Line,7.9,184319402
Valkyrie,7.3,198686497
Patch Adams,6.3,202200000
Braveheart,8.4,209000000
The Aviator,7.6,214608827
The Terminal,7.1,218673959
Fahrenheit 9/11,7.6,222414517
Erin Brockovich,7.2,258400000
American Gangster,7.9,265697825
The Pursuit of Happyness,7.8,306086036
Schindler's List,8.9,321200000
Pocahontas,6.0,347100000
Pearl Harbor,5.4,449239855
Office Space,7.9,12827813
Jonah: A VeggieTales Movie,6.3,25606175
Sling Blade,8.0,34175000
Napoleon Dynamite,6.9,46140956
Looney Tunes: Back in Action/Adventure,6.0,54540662
Twelve Monkeys,8.1,168841459
The Sorcerer's Apprentice,6.4,200092818
G.I. Joe: The Rise of Cobra,5.8,302469019
The Singing Detective,5.6,524747
Strangers with Candy,5.9,2077844
The Real Cancun,2.3,3816594
